ssot_slug,yandex_name,chel_wp_term_id,chel_wp_name,chel_doctors_count,spb_doctors_count,spb_raw_variants,manual_merge,merge_status,notes
абдоминальный-хирург,абдоминальный хирург,,,0,0,,,yandex_only,
акушер,акушер,,,0,0,,,yandex_only,
akusher-ginekolog,акушер-гинеколог,1267,Акушер-гинеколог,11,14,"Заместитель главного врача по ВРТ, врач — акушер-гинеколог, репродуктолог, врач ультразвуковой диагностики, кандидат медицинских наук. || Врач — акушер-гинеколог первой категории, репродуктолог, врач ультразвуковой диагностики. || Врач — акушер-гинеколог, репродуктолог, врач ультразвуковой диагностики. || Старший врач акушер-гинеколог отделения ВРТ, репродуктолог, врач ультразвуковой диагностики, врач высшей категории. || Врач-акушер-гинеколог, репродуктолог, врач ультразвуковой диагностики. || Врач акушер-гинеколог, репродуктолог, оперирующий гинеколог. Доктор медицинских наук, доцент кафедры акушерства и гинекологии с клиникой ФГБУ «НМИЦ им. В. А. Алмазова» Минздрава России. || Заместитель главного врача по акушерству и гинекологии, врач акушер-гинеколог, кандидат медицинских наук. || Врач — акушер-гинеколог высшей квалификационной категории, врач ультразвуковой диагностики, кандидат медицинских наук. || Врач — акушер-гинеколог, врач ультразвуковой диагностики, кандидат медицинских наук. || Врач — акушер-гинеколог высшей квалификационной категории, врач ультразвуковой диагностики. || Врач — акушер-гинеколог, врач ультразвуковой диагностики. || Врач акушер-гинеколог, врач ультразвуковой диагностики || Врач-акушер-гинеколог, врач ультразвуковой диагностики || Врач пренатальной ультразвуковой диагностики, врач акушер-гинеколог",,chel_spb,
аллерголог,аллерголог,,,0,0,,,yandex_only,
allergolog-immunolog,аллерголог-иммунолог,1278,аллерголог-иммунолог,2,1,"Врач аллерголог-иммунолог, врач аллерголог, врач иммунолог",,chel_spb,
androlog,андролог,1306,андролог,0,2,"Уролог, уролог-андролог || Уролог, уролог-андролог, врач ультразвуковой диагностики",,chel_spb,
анестезиолог,анестезиолог,,,0,0,,,yandex_only,
анестезиолог-реаниматолог,анестезиолог-реаниматолог,,,0,2,"Врач-нефролог, анестезиолог-реаниматолог, врач высшей квалификационной категории. Кандидат медицинских наук. || Врач — анестезиолог-реаниматолог.",,spb_only,
аритмолог,аритмолог,,,0,0,,,yandex_only,
артролог,артролог,,,0,0,,,yandex_only,
бариатрический-хирург,бариатрический хирург,,,0,0,,,yandex_only,
вегетолог,вегетолог,,,0,0,,,yandex_only,
венеролог,венеролог,,,0,0,,,yandex_only,
вертебролог,вертебролог,,,0,0,,,yandex_only,
вирусолог,вирусолог,,,0,0,,,yandex_only,
врач-лабораторной-диагностики,врач лабораторной диагностики,,,0,0,,,yandex_only,
врач-лфк,врач лфк,,,0,0,,,yandex_only,
vrach-obshhej-praktiki,врач общей практики,1302,врач общей практики,2,0,,,chel_only,
врач-по-медико-социальной-экспертизе,врач по медико-социальной экспертизе,,,0,0,,,yandex_only,
врач-по-паллиативной-медицинской-помощи,врач по паллиативной медицинской помощи,,,0,0,,,yandex_only,
врач-по-спортивной-медицине,врач по спортивной медицине,,,0,0,,,yandex_only,
врач-по-рентгенэндоваскулярным-диагностике-и-лечению,врач по рентгенэндоваскулярным диагностике и лечению,,,0,0,,,yandex_only,
врач-скорой-помощи,врач скорой помощи,,,0,0,,,yandex_only,
vrach-funkcionalnoj-diagnostiki,врач функциональной диагностики,1277,врач функциональной диагностики,1,2,Врач функциональной диагностики высшей квалификационной категории. || Кардиолог. Врач функциональной диагностики,,chel_spb,
врач-эфферентной-терапии,врач эфферентной терапии,,,0,0,,,yandex_only,
gastrojenterolog,гастроэнтеролог,1279,гастроэнтеролог,1,4,"Врач-эндокринолог высшей категории, терапевт, гастроэнтеролог. Кандидат медицинских наук. || Врач-гастроэнтеролог высшей квалификационной категории, терапевт, диетолог. || Врач-эндоскопист",,chel_spb,
gematolog,гематолог,1280,гематолог,1,0,,,chel_only,
gemostaziolog,гемостазиолог,1281,гемостазиолог,0,2,"Врач-терапевт, гемостазиолог || Терапевт",,chel_spb,
genetik,генетик,1288,генетик,1,1,Врач-генетик,,chel_spb,
гепатолог,гепатолог,,,0,0,,,yandex_only,
гериатр,гериатр (геронтолог),,,0,0,,,yandex_only,
гинеколог,гинеколог,,,0,0,,,yandex_only,
ginekolog-jendokrinolog,гинеколог-эндокринолог,1271,Гинеколог-эндокринолог,1,0,,,chel_only,
гипнолог,гипнолог,,,0,0,,,yandex_only,
гирудотерапевт,гирудотерапевт,,,0,0,,,yandex_only,
гнатолог,гнатолог,,,0,0,,,yandex_only,
гнойный-хирург,гнойный хирург,,,0,0,,,yandex_only,
дезинфектолог,дезинфектолог,,,0,0,,,yandex_only,
dermatolog,дерматолог,1272,Дерматолог,0,0,,,chel_only,
dermatovenerolog,дерматовенеролог,1273,Дерматовенеролог,5,2,Врач-дерматовенеролог высшей квалификационной категории || Врач-дерматовенеролог. Врач-педиатр,,chel_spb,
дефектолог,дефектолог,,,0,0,,,yandex_only,
диабетолог,диабетолог,,,0,0,,,yandex_only,
dietolog,диетолог,1285,диетолог,0,2,"Врач-эндокринолог, диетолог || Врач-гастроэнтеролог высшей квалификационной категории, терапевт, диетолог.",,chel_spb,
иммунолог,иммунолог,,,0,0,,,yandex_only,
инструктор-лфк,инструктор лфк,,,0,0,,,yandex_only,
инфекционист,инфекционист,,,0,0,,,yandex_only,
kardiolog,кардиолог,1274,кардиолог,8,2,"Врач-нефролог, анестезиолог-реаниматолог, врач высшей квалификационной категории. Кандидат медицинских наук. || Кардиолог. Врач функциональной диагностики",,chel_spb,
кардиохирург,кардиохирург,,,0,0,,,yandex_only,
кинезиолог,кинезиолог,,,0,0,,,yandex_only,
кистевой-хирург,кистевой хирург,,,0,0,,,yandex_only,
клинический-фармаколог,клинический фармаколог,,,0,0,,,yandex_only,
колопроктолог,колопроктолог (проктолог),,,0,1,Врач-колопроктолог высшей квалификационной категории.,,spb_only,
kosmetolog,косметолог,1308,косметолог,3,0,,,chel_only,
лазерный-хирург,лазерный хирург,,,0,1,"Врач-офтальмолог высшей квалификационной категории, лазерный хирург. Кандидат медицинских наук. Заместитель главного врача по поликлинике.",,spb_only,
лимфолог,лимфолог,,,0,0,,,yandex_only,
логопед,логопед,,,0,0,,,yandex_only,
лор,лор (отоларинголог),,,0,2,"Врач оториноларинголог (ЛОР), детский отоларинголог",,spb_only,
малоинвазивный-хирург,малоинвазивный хирург,,,0,0,,,yandex_only,
маммолог,маммолог,,,0,1,"Врач-онколог, маммолог, врач ультразвуковой диагностики.",,spb_only,
мануальный-терапевт,мануальный терапевт,,,0,0,,,yandex_only,
массажист,массажист,,,0,0,,,yandex_only,
миколог,миколог,,,0,0,,,yandex_only,
нарколог,нарколог,,,0,0,,,yandex_only,
nevrolog,невролог,1292,невролог,4,1,Врач-невролог. Кандидат медицинских наук.,,chel_spb,
нейропсихолог,нейропсихолог,,,0,0,,,yandex_only,
нейрофизиолог,нейрофизиолог,,,0,0,,,yandex_only,
nejrohirurg,нейрохирург,1304,нейрохирург,1,0,,,chel_only,
неонатолог,неонатолог,,,0,0,,,yandex_only,
nefrolog,нефролог,1294,нефролог,2,1,"Врач-нефролог, анестезиолог-реаниматолог, врач высшей квалификационной категории. Кандидат медицинских наук.",,chel_spb,
нутрициолог,нутрициолог,,,0,0,,,yandex_only,
ожоговый-хирург,ожоговый хирург (комбустиолог),,,0,0,,,yandex_only,
онкогинеколог,онкогинеколог,,,0,0,,,yandex_only,
онкодерматолог,онкодерматолог,,,0,0,,,yandex_only,
onkolog,онколог,1295,онколог,2,2,"Врач-онколог, маммолог, врач ультразвуковой диагностики. || Онколог",,chel_spb,
онколог-гематолог,онколог-гематолог,,,0,0,,,yandex_only,
онкопроктолог,онкопроктолог,,,0,0,,,yandex_only,
онкоуролог,онкоуролог,,,0,0,,,yandex_only,
оптометрист,оптометрист,,,0,0,,,yandex_only,
ortoped,ортопед,1301,ортопед,4,1,"Врач — травматолог-ортопед, врач ультразвуковой диагностики.",,chel_spb,
остеопат,остеопат,,,0,1,Врач-остеопат,,spb_only,
отоневролог,отоневролог,,,0,0,,,yandex_only,
офтальмолог,офтальмолог (окулист),,,0,1,"Врач-офтальмолог высшей квалификационной категории, лазерный хирург. Кандидат медицинских наук. Заместитель главного врача по поликлинике.",,spb_only,
офтальмолог-протезист,офтальмолог-протезист,,,0,0,,,yandex_only,
офтальмохирург,офтальмохирург,,,0,0,,,yandex_only,
паразитолог,паразитолог,,,0,0,,,yandex_only,
патологоанатом,патологоанатом,,,0,0,,,yandex_only,
pediatr,педиатр,1305,педиатр,5,1,Врач-дерматовенеролог. Врач-педиатр,,chel_spb,
перинатолог,перинатолог,,,0,0,,,yandex_only,
пластический-хирург,пластический хирург,,,0,0,,,yandex_only,
подиатр,подиатр,,,0,0,,,yandex_only,
podolog,подолог,1307,подолог,0,0,,,chel_only,
профпатолог,профпатолог,,,0,0,,,yandex_only,
psihiatr,психиатр,1289,психиатр,0,0,,,chel_only,
психолог,психолог,,,0,2,"Психолог || Психолог, кандидат психологических наук.",,spb_only,
psihoterapevt,психотерапевт,1291,психотерапевт,0,1,Врач-психотерапевт.,,chel_spb,
pulmonolog,пульмонолог,1298,пульмонолог,1,2,"Врач-пульмонолог высшей квалификационной категории. || Врач – терапевт, пульмонолог.",,chel_spb,
радиолог,радиолог,,,0,0,,,yandex_only,
радиотерапевт,радиотерапевт,,,0,0,,,yandex_only,
реабилитолог,реабилитолог,,,0,0,,,yandex_only,
реаниматолог,реаниматолог,,,0,0,,,yandex_only,
revmatolog,ревматолог,1299,ревматолог,2,2,"Заместитель главного врача по клинико-экспертной работе, врач-ревматолог, кандидат медицинских наук. || Врач-ревматолог",,chel_spb,
рентгенолог,рентгенолог,,,0,0,,,yandex_only,
reproduktolog,репродуктолог,1268,Репродуктолог,0,6,"Заместитель главного врача по ВРТ, врач — акушер-гинеколог, репродуктолог, врач ультразвуковой диагностики, кандидат медицинских наук. || Врач — акушер-гинеколог первой категории, репродуктолог, врач ультразвуковой диагностики. || Врач — акушер-гинеколог, репродуктолог, врач ультразвуковой диагностики. || Старший врач акушер-гинеколог отделения ВРТ, репродуктолог, врач ультразвуковой диагностики, врач высшей категории. || Врач-акушер-гинеколог, репродуктолог, врач ультразвуковой диагностики. || Врач акушер-гинеколог, репродуктолог, оперирующий гинеколог. Доктор медицинских наук, доцент кафедры акушерства и гинекологии с клиникой ФГБУ «НМИЦ им. В. А. Алмазова» Минздрава России.",,chel_spb,
refleksoterapevt,рефлексотерапевт,1293,рефлексотерапевт,1,0,,,chel_only,
сексолог,сексолог,,,0,0,,,yandex_only,
семейный-врач,семейный врач,,,0,0,,,yandex_only,
serdechno-sosudistyj-hirurg,сердечно-сосудистый хирург,1309,сердечно-сосудистый хирург,0,0,,,chel_only,
somnolog,сомнолог,1276,сомнолог,1,0,,,chel_only,
сосудистый-хирург,сосудистый хирург,,,0,0,,,yandex_only,
специалист-по-грудному-вскармливанию,специалист по грудному вскармливанию,,,0,0,,,yandex_only,
спортивный-врач,спортивный врач,,,0,0,,,yandex_only,
стоматолог,стоматолог,,,0,0,,,yandex_only,
стоматолог-гигиенист,стоматолог-гигиенист,,,0,0,,,yandex_only,
стоматолог-имплантолог,стоматолог-имплантолог,,,0,0,,,yandex_only,
стоматолог-ортодонт,стоматолог-ортодонт,,,0,0,,,yandex_only,
стоматолог-ортопед,стоматолог-ортопед,,,0,0,,,yandex_only,
стоматолог-пародонтолог,стоматолог-пародонтолог,,,0,0,,,yandex_only,
стоматолог-терапевт,стоматолог-терапевт,,,0,0,,,yandex_only,
стоматолог-хирург,стоматолог-хирург,,,0,0,,,yandex_only,
стоматолог-эндодонт,стоматолог-эндодонт,,,0,0,,,yandex_only,
судебно-медицинский-эксперт,судебно-медицинский эксперт,,,0,0,,,yandex_only,
сурдолог,сурдолог,,,0,0,,,yandex_only,
сурдолог-протезист,сурдолог-протезист,,,0,0,,,yandex_only,
terapevt,терапевт,1275,терапевт,6,9,"Психолог || Врач-терапевт, гемостазиолог || Врач-эндокринолог высшей категории, терапевт, гастроэнтеролог. Кандидат медицинских наук. || Врач-гастроэнтеролог высшей квалификационной категории, терапевт, диетолог. || Терапевт || Врач-эндоскопист || Врач-нефролог, анестезиолог-реаниматолог, врач высшей квалификационной категории. Кандидат медицинских наук. || Врач – терапевт, пульмонолог.",,chel_spb,
токсиколог,токсиколог,,,0,0,,,yandex_only,
торакальный-онколог,торакальный онколог,,,0,0,,,yandex_only,
торакальный-хирург,торакальный хирург,,,0,0,,,yandex_only,
travmatolog,травматолог,1300,травматолог,4,0,,,chel_only,
трансплантолог,трансплантолог,,,0,0,,,yandex_only,
трансфузиолог,трансфузиолог,,,0,0,,,yandex_only,
triholog,трихолог,1283,Трихолог,2,0,,,chel_only,
uzi-specialist,узи-специалист,1282,узи-специалист,1,16,"Заместитель главного врача по ВРТ, врач — акушер-гинеколог, репродуктолог, врач ультразвуковой диагностики, кандидат медицинских наук. || Врач — акушер-гинеколог первой категории, репродуктолог, врач ультразвуковой диагностики. || Врач — акушер-гинеколог, репродуктолог, врач ультразвуковой диагностики. || Старший врач акушер-гинеколог отделения ВРТ, репродуктолог, врач ультразвуковой диагностики, врач высшей категории. || Врач-акушер-гинеколог, репродуктолог, врач ультразвуковой диагностики. || Уролог, уролог-андролог, врач ультразвуковой диагностики || Врач — акушер-гинеколог высшей квалификационной категории, врач ультразвуковой диагностики, кандидат медицинских наук. || Врач — акушер-гинеколог, врач ультразвуковой диагностики, кандидат медицинских наук. || Врач — акушер-гинеколог высшей квалификационной категории, врач ультразвуковой диагностики. || Врач — акушер-гинеколог, врач ультразвуковой диагностики. || Врач акушер-гинеколог, врач ультразвуковой диагностики || Врач-акушер-гинеколог, врач ультразвуковой диагностики || Врач пренатальной ультразвуковой диагностики, врач акушер-гинеколог || Врач ультразвуковой диагностики || Врач — травматолог-ортопед, врач ультразвуковой диагностики. || Врач-онколог, маммолог, врач ультразвуковой диагностики.",,chel_spb,
urolog,уролог,1270,уролог,4,2,"Уролог, уролог-андролог || Уролог, уролог-андролог, врач ультразвуковой диагностики",,chel_spb,
физиотерапевт,физиотерапевт,,,0,0,,,yandex_only,
фитотерапевт,фитотерапевт,,,0,0,,,yandex_only,
флеболог,флеболог,,,0,0,,,yandex_only,
фониатр,фониатр,,,0,0,,,yandex_only,
фтизиатр,фтизиатр,,,0,0,,,yandex_only,
химиотерапевт,химиотерапевт,,,0,0,,,yandex_only,
hirurg,хирург,1287,хирург,5,0,,,chel_only,
hirurg-jendokrinolog,хирург-эндокринолог,1303,хирург-эндокринолог,0,0,,,chel_only,
цитолог,цитолог,,,0,0,,,yandex_only,
челюстно-лицевой-хирург,челюстно-лицевой хирург,,,0,0,,,yandex_only,
эмбриолог,эмбриолог,,,0,3,"Эмбриолог, кандидат биологических наук || Эмбриолог || Эмбриолог, врач КЛД эмбриологической лаборатории отделения ВРТ",,spb_only,
эндоваскулярный-хирург,эндоваскулярный хирург,,,0,0,,,yandex_only,
jendokrinolog,эндокринолог,1284,эндокринолог,0,5,"Врач — акушер-гинеколог, врач ультразвуковой диагностики, кандидат медицинских наук. || Врач-эндокринолог высшей категории, терапевт, гастроэнтеролог. Кандидат медицинских наук. || Врач-эндокринолог, диетолог || Врач-эндоскопист",,chel_spb,
эндоскопист,эндоскопист,,,0,3,Врач-эндоскопист высшей квалификационной категории. || Врач-эндоскопист,,spb_only,
эпидемиолог,эпидемиолог,,,0,0,,,yandex_only,
эпилептолог,эпилептолог,,,0,0,,,yandex_only,
